Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
-0.100000000000000, 0, 0, 0, 0, 0, 0, 0, 0
0.000000000000000, 1, 0, 0, 0, 0, 0, 0, 0
0.010024844000000, 0, 0, 0, 0, 0, 0, 0, 0
0.010024872000000, 1, 0, 0, 0, 0, 0, 0, 0
0.010024888000000, 0, 0, 0, 0, 0, 0, 0, 0
0.010024916000000, 1, 0, 0, 0, 0, 0, 0, 0
0.010024924000000, 0, 0, 0, 0, 0, 0, 0, 0
0.020050748000000, 0, 1, 0, 0, 0, 0, 0, 0
0.030074276000000, 0, 0, 0, 0, 0, 0, 0, 0
0.030074280000000, 0, 1, 0, 0, 0, 0, 0, 0
0.030074288000000, 0, 0, 0, 0, 0, 0, 0, 0
0.030074296000000, 0, 1, 0, 0, 0, 0, 0, 0
0.030077488000000, 0, 0, 0, 0, 0, 0, 0, 0
0.030077528000000, 0, 1, 0, 0, 0, 0, 0, 0
0.030077544000000, 0, 0, 0, 0, 0, 0, 0, 0
0.040099552000000, 0, 0, 1, 0, 0, 0, 0, 0
0.050124708000000, 0, 0, 0, 0, 0, 0, 0, 0
0.050124740000000, 0, 0, 1, 0, 0, 0, 0, 0
0.050124752000000, 0, 0, 0, 0, 0, 0, 0, 0
0.060150800000000, 0, 0, 0, 1, 0, 0, 0, 0
0.070176476000000, 0, 0, 0, 0, 0, 0, 0, 0
0.070176484000000, 0, 0, 0, 1, 0, 0, 0, 0
0.070176488000000, 0, 0, 0, 0, 0, 0, 0, 0
0.070176504000000, 0, 0, 0, 1, 0, 0, 0, 0
0.070176520000000, 0, 0, 0, 0, 0, 0, 0, 0
0.070176548000000, 0, 0, 0, 1, 0, 0, 0, 0
0.070176556000000, 0, 0, 0, 0, 0, 0, 0, 0
0.080199876000000, 0, 0, 0, 0, 1, 0, 0, 0
0.090225336000000, 0, 0, 0, 0, 0, 0, 0, 0
0.100250300000000, 0, 0, 0, 0, 0, 1, 0, 0
0.110275204000000, 0, 0, 0, 0, 0, 0, 0, 0
0.110275212000000, 0, 0, 0, 0, 0, 1, 0, 0
0.110275216000000, 0, 0, 0, 0, 0, 0, 0, 0
0.110275228000000, 0, 0, 0, 0, 0, 1, 0, 0
0.110275248000000, 0, 0, 0, 0, 0, 0, 0, 0
0.110275268000000, 0, 0, 0, 0, 0, 1, 0, 0
0.110275288000000, 0, 0, 0, 0, 0, 0, 0, 0
0.120301668000000, 0, 0, 0, 0, 0, 0, 1, 0
0.130326512000000, 0, 0, 0, 0, 0, 0, 0, 0
0.340641804000000, 1, 0, 0, 0, 0, 0, 0, 0
0.440785288000000, 0, 0, 0, 0, 0, 0, 0, 0
0.440785316000000, 1, 0, 0, 0, 0, 0, 0, 0
0.440785332000000, 0, 0, 0, 0, 0, 0, 0, 0
0.440785356000000, 1, 0, 0, 0, 0, 0, 0, 0
0.440785368000000, 0, 0, 0, 0, 0, 0, 0, 0
0.540929812000000, 0, 1, 0, 0, 0, 0, 0, 0
0.641075032000000, 0, 0, 0, 0, 0, 0, 0, 0
0.641075040000000, 0, 1, 0, 0, 0, 0, 0, 0
0.641075048000000, 0, 0, 0, 0, 0, 0, 0, 0
0.641075056000000, 0, 1, 0, 0, 0, 0, 0, 0
0.641078336000000, 0, 0, 0, 0, 0, 0, 0, 0
0.741218584000000, 0, 0, 1, 0, 0, 0, 0, 0
0.841361788000000, 0, 0, 0, 0, 0, 0, 0, 0
0.841361796000000, 0, 0, 1, 0, 0, 0, 0, 0
0.841361800000000, 0, 0, 0, 0, 0, 0, 0, 0
0.841361816000000, 0, 0, 1, 0, 0, 0, 0, 0
0.841361828000000, 0, 0, 0, 0, 0, 0, 0, 0
0.941503772000000, 0, 0, 0, 1, 0, 0, 0, 0
1.041647396000000, 0, 0, 0, 0, 0, 0, 0, 0
1.041647404000000, 0, 0, 0, 1, 0, 0, 0, 0
1.041647408000000, 0, 0, 0, 0, 0, 0, 0, 0
1.041647424000000, 0, 0, 0, 1, 0, 0, 0, 0
1.041647440000000, 0, 0, 0, 0, 0, 0, 0, 0
1.041647468000000, 0, 0, 0, 1, 0, 0, 0, 0
1.041647476000000, 0, 0, 0, 0, 0, 0, 0, 0
1.141792252000000, 0, 0, 0, 0, 1, 0, 0, 0
1.241937472000000, 0, 0, 0, 0, 0, 0, 0, 0
1.241937504000000, 0, 0, 0, 0, 1, 0, 0, 0
1.241937508000000, 0, 0, 0, 0, 0, 0, 0, 0
1.342080828000000, 0, 0, 0, 0, 0, 1, 0, 0
1.442223900000000, 0, 0, 0, 0, 0, 0, 0, 0
1.442223904000000, 0, 0, 0, 0, 0, 1, 0, 0
1.442223912000000, 0, 0, 0, 0, 0, 0, 0, 0
1.442223924000000, 0, 0, 0, 0, 0, 1, 0, 0
1.442223944000000, 0, 0, 0, 0, 0, 0, 0, 0
1.442223964000000, 0, 0, 0, 0, 0, 1, 0, 0
1.442223980000000, 0, 0, 0, 0, 0, 0, 0, 0
1.542368772000000, 0, 0, 0, 0, 0, 0, 1, 0
1.642511656000000, 0, 0, 0, 0, 0, 0, 0, 0
